base_impact,coef_score,amplitude_method,amplitude_factor,score_tendance_v2,impact_pred,impact_real,error,error_pct
50.0,0.12,1,0.541999999999998,-0.3030118966725066,50.59102505096321,51.7,1.1089749490367922,2.1450192437848976
52.0,0.08,4,1.6462077633154297,-0.9203330935040868,50.57998504757415,51.7,1.120014952425855,2.166373215523897
54.0,0.14,3,0.856540727468379,-0.4788598347000794,52.89881063215077,51.7,1.1988106321507672,2.318782654063379
50.0,0.08,3,0.856540727468379,-0.4788598347000794,50.48878869425967,51.7,1.2112113057403349,2.3427684830567403
52.0,0.1,1,0.541999999999998,-0.3030118966725066,52.94555504416811,51.7,1.245555044168107,2.4091973775011737
54.0,0.12,4,1.6462077633154297,-0.9203330935040868,50.4380536317982,51.7,1.261946368201805,2.440902066154362
52.0,0.06,3,0.856540727468379,-0.4788598347000794,53.031255181522546,51.7,1.3312551815225433,2.574961666387898
50.0,0.14,1,0.541999999999998,-0.3030118966725066,50.272862559457074,51.7,1.4271374405429285,2.7604205813209446
52.0,0.08,1,0.541999999999998,-0.3030118966725066,53.27644403533449,51.7,1.5764440353344895,3.0492147685386644
56.0,0.1,4,1.6462077633154297,-0.9203330935040868,53.38844141019597,51.7,1.6884414101959706,3.2658441203016837
50.0,0.1,3,0.856540727468379,-0.4788598347000794,49.98598586782458,51.7,1.7140141321754214,3.3153077991787647
54.0,0.12,3,0.856540727468379,-0.4788598347000794,53.44183768470066,51.7,1.7418376847006556,3.3691251154751556
52.0,0.14,2,0.270999999999999,-0.1515059483362533,53.44188853091768,51.7,1.7418885309176773,3.3692234640574026
48.0,0.06,2,0.270999999999999,-0.1515059483362533,49.94184601223117,51.7,1.7581539877688357,3.400684695877825
54.0,0.06,4,1.6462077633154297,-0.9203330935040868,53.5690268158991,51.7,1.8690268158990975,3.6151389088957395
52.0,0.12,2,0.270999999999999,-0.1515059483362533,53.60733302650087,51.7,1.907333026500865,3.6892321595761413
52.0,0.06,1,0.541999999999998,-0.3030118966725066,53.60733302650087,51.7,1.907333026500865,3.6892321595761413
48.0,0.08,2,0.270999999999999,-0.1515059483362533,49.78912801630823,51.7,1.91087198369177,3.696077337895106
48.0,0.1,2,0.270999999999999,-0.1515059483362533,49.636410020385284,51.7,2.0635899796147186,3.9914699799124147
