20250901 052000;1.172350;1.172350;1.172230;1.172270;0
20250901 052100;1.172280;1.172420;1.172280;1.172320;0
20250901 052200;1.172310;1.172360;1.172250;1.172330;0
20250901 052300;1.172330;1.172450;1.172330;1.172350;0
20250901 052400;1.172340;1.172490;1.172340;1.172440;0
20250901 052500;1.172460;1.172510;1.172320;1.172320;0
20250901 052600;1.172300;1.172340;1.172180;1.172340;0
20250901 052700;1.172340;1.172400;1.172300;1.172340;0
20250901 052800;1.172350;1.172460;1.172340;1.172420;0
20250901 052900;1.172400;1.172460;1.172400;1.172430;0
20250901 053000;1.172440;1.172550;1.172370;1.172490;0
20250901 053100;1.172490;1.172510;1.172400;1.172460;0
20250901 053200;1.172440;1.172510;1.172400;1.172470;0
20250901 053300;1.172450;1.172610;1.172450;1.172490;0
20250901 053400;1.172470;1.172500;1.172410;1.172440;0
20250901 053500;1.172470;1.172570;1.172470;1.172550;0
20250901 053600;1.172600;1.172640;1.172460;1.172480;0
20250901 053700;1.172440;1.172460;1.172390;1.172400;0
20250901 053800;1.172390;1.172410;1.172360;1.172370;0
20250901 053900;1.172380;1.172420;1.172350;1.172410;0
20250901 054000;1.172430;1.172460;1.172360;1.172410;0
20250901 054100;1.172400;1.172420;1.172300;1.172350;0
20250901 054200;1.172330;1.172420;1.172300;1.172400;0
20250901 054300;1.172430;1.172510;1.172360;1.172360;0
20250901 054400;1.172360;1.172420;1.172350;1.172410;0
20250901 054500;1.172430;1.172490;1.172390;1.172440;0
20250901 054600;1.172440;1.172440;1.172290;1.172300;0
20250901 054700;1.172310;1.172410;1.172310;1.172410;0
20250901 054800;1.172410;1.172560;1.172380;1.172390;0
20250901 054900;1.172360;1.172410;1.172310;1.172390;0
20250901 055000;1.172360;1.172360;1.172260;1.172290;0
20250901 055100;1.172280;1.172360;1.172280;1.172310;0
20250901 055200;1.172250;1.172290;1.172220;1.172220;0
20250901 055300;1.172230;1.172240;1.172120;1.172120;0
20250901 055400;1.172120;1.172180;1.172090;1.172160;0
20250901 055500;1.172150;1.172180;1.172040;1.172070;0
20250901 055600;1.172090;1.172100;1.171940;1.172010;0
20250901 055700;1.172010;1.172040;1.171950;1.171950;0
