ts_utc,open,high,low,close,volume
2025-07-15 15:10:00+02:00,1.16706,1.16706,1.16652,1.16677,376
2025-07-15 15:11:00+02:00,1.16676,1.16719,1.16676,1.16719,275
2025-07-15 15:12:00+02:00,1.16718,1.16749,1.16712,1.16748,232
2025-07-15 15:13:00+02:00,1.16748,1.16754,1.16731,1.16732,183
2025-07-15 15:14:00+02:00,1.16733,1.16743,1.16708,1.16708,233
2025-07-15 15:15:00+02:00,1.16708,1.16712,1.16684,1.1669,220
2025-07-15 15:16:00+02:00,1.16688,1.16694,1.16666,1.16688,158
2025-07-15 15:17:00+02:00,1.1669,1.16703,1.16689,1.16702,174
2025-07-15 15:18:00+02:00,1.16702,1.16702,1.16658,1.16659,202
2025-07-15 15:19:00+02:00,1.16658,1.16658,1.16634,1.16648,211
2025-07-15 15:20:00+02:00,1.16648,1.1665,1.1663,1.16648,180
2025-07-15 15:21:00+02:00,1.1665,1.16668,1.16649,1.16667,148
2025-07-15 15:22:00+02:00,1.16668,1.16674,1.16616,1.16624,180
2025-07-15 15:23:00+02:00,1.16623,1.16666,1.16622,1.1665,244
2025-07-15 15:24:00+02:00,1.1665,1.16669,1.16648,1.16666,135
2025-07-15 15:25:00+02:00,1.16666,1.16666,1.16644,1.16656,188
2025-07-15 15:26:00+02:00,1.16656,1.16666,1.16654,1.16661,142
2025-07-15 15:27:00+02:00,1.16663,1.16664,1.16632,1.1666,181
2025-07-15 15:28:00+02:00,1.16657,1.16678,1.16657,1.16676,158
2025-07-15 15:29:00+02:00,1.16677,1.16686,1.16671,1.16673,160
2025-07-15 15:30:00+02:00,1.16672,1.16679,1.16644,1.16644,237
2025-07-15 15:31:00+02:00,1.16645,1.16668,1.16639,1.16653,204
2025-07-15 15:32:00+02:00,1.16649,1.16668,1.16639,1.16644,236
2025-07-15 15:33:00+02:00,1.16644,1.1665,1.1658,1.16582,302
2025-07-15 15:34:00+02:00,1.16582,1.16583,1.1647,1.16505,753
2025-07-15 15:35:00+02:00,1.16504,1.16508,1.16432,1.16454,585
2025-07-15 15:36:00+02:00,1.16454,1.16458,1.16426,1.16458,444
2025-07-15 15:37:00+02:00,1.16461,1.1651,1.16455,1.16499,500
2025-07-15 15:38:00+02:00,1.16502,1.16514,1.16487,1.16512,401
2025-07-15 15:39:00+02:00,1.16511,1.16512,1.16484,1.16494,354
2025-07-15 15:40:00+02:00,1.16494,1.16495,1.1646,1.16474,469
2025-07-15 15:41:00+02:00,1.16474,1.16516,1.16472,1.16515,299
2025-07-15 15:42:00+02:00,1.16512,1.16516,1.1648,1.16484,305
2025-07-15 15:43:00+02:00,1.16485,1.16498,1.16475,1.16488,258
2025-07-15 15:44:00+02:00,1.16488,1.16504,1.16458,1.16482,351
2025-07-15 15:45:00+02:00,1.1648,1.16484,1.1645,1.16458,403
2025-07-15 15:46:00+02:00,1.16459,1.16475,1.16441,1.16468,350
2025-07-15 15:47:00+02:00,1.16466,1.16468,1.16425,1.1643,351
2025-07-15 15:48:00+02:00,1.1643,1.16461,1.1643,1.1645,279
2025-07-15 15:49:00+02:00,1.16448,1.1648,1.16446,1.16474,282
2025-07-15 15:50:00+02:00,1.16474,1.16475,1.16458,1.16473,282
2025-07-15 15:51:00+02:00,1.16472,1.16475,1.16424,1.1643,312
2025-07-15 15:52:00+02:00,1.1643,1.16462,1.16404,1.1646,382
2025-07-15 15:53:00+02:00,1.16459,1.16463,1.1643,1.16434,367
2025-07-15 15:54:00+02:00,1.16433,1.16434,1.16403,1.16412,302
2025-07-15 15:55:00+02:00,1.16411,1.16422,1.16403,1.16414,224
