movement_id,datetime,direction,baseline_price,latency_minutes,movement_start_time,peak_time,peak_price,peak_minutes_from_start,impact_pips,has_pullback,pullback_time,pullback_price,pullback_pips,pullback_ratio,pullback_minutes_from_peak,stabilization_time,stabilization_minutes_from_peak,pattern_type,total_score,num_events
119,2023-12-08 15:34:00+01:00,UP,,26.0,2023-12-08 16:00:00+01:00,2023-12-08 16:19:00+01:00,1.0786,19.0,,True,2023-12-08 17:18:00+01:00,1.07541,31.90000000000026,9.114285714283902,59.0,,,SINGLE_WAVE_FORT_UP,156.10565878207214,9
120,2023-12-12 14:35:00+01:00,DOWN,,4.0,2023-12-12 14:39:00+01:00,2023-12-12 15:35:00+01:00,1.07673,56.0,,True,2023-12-12 16:25:00+01:00,1.07899,22.599999999999287,13.294117647058131,50.0,,,SINGLE_WAVE_FORT_DOWN,131.57879238221503,10
121,2023-12-13 19:51:00+01:00,UP,,9.0,2023-12-13 20:00:00+01:00,2023-12-13 21:09:00+01:00,1.08967,69.0,,True,2023-12-13 21:31:00+01:00,1.0865,31.69999999999895,5.372881355933224,22.0,,,SINGLE_WAVE_FORT_UP,411.06231837607015,8
122,2023-12-14 14:40:00+01:00,UP,,1.0,2023-12-14 14:41:00+01:00,2023-12-14 16:02:00+01:00,1.09973,81.0,,True,2023-12-14 16:36:00+01:00,1.09683,29.000000000001247,11.599999999996625,34.0,,,SINGLE_WAVE_FORT_UP,463.44927702200494,20
125,2023-12-21 11:42:00+01:00,UP,,3.0,2023-12-21 11:45:00+01:00,2023-12-21 13:36:00+01:00,1.0987,111.0,,True,2023-12-21 13:37:00+01:00,1.09852,1.80000000000069,17.999999999888978,1.0,,,SINGLE_WAVE_FORT_UP,42.81763638427519,5
127,2024-01-02 11:53:00+01:00,DOWN,,3.0,2024-01-02 11:56:00+01:00,2024-01-02 13:40:00+01:00,1.09582,104.0,,True,2024-01-02 13:42:00+01:00,1.09636,5.399999999999849,3.857142857141951,2.0,,,SINGLE_WAVE_FORT_DOWN,69.97960480058532,7
129,2024-01-11 14:30:00+01:00,DOWN,,0.0,2024-01-11 14:30:00+01:00,2024-01-11 16:14:00+01:00,1.09305,104.0,,True,2024-01-11 16:30:00+01:00,1.09526,22.099999999998232,4.911111111112471,16.0,,,SINGLE_WAVE_FORT_DOWN,157.19421165589154,10
130,2024-01-25 14:44:00+01:00,DOWN,,5.0,2024-01-25 14:49:00+01:00,2024-01-25 16:39:00+01:00,1.08337,110.0,,True,2024-01-25 16:44:00+01:00,1.08391,5.399999999999849,2.3478260869569416,5.0,,,SINGLE_WAVE_FORT_DOWN,971.974609223578,35
131,2024-01-31 20:51:00+01:00,DOWN,,0.0,2024-01-31 20:51:00+01:00,2024-01-31 21:34:00+01:00,1.07951,43.0,,True,2024-01-31 22:25:00+01:00,1.08154,20.299999999999763,40.59999999991385,51.0,,,SINGLE_WAVE_FORT_DOWN,100.4954838709675,3
132,2024-02-01 17:06:00+01:00,UP,,2.0,2024-02-01 17:08:00+01:00,2024-02-01 18:54:00+01:00,1.08749,106.0,,True,2024-02-01 19:05:00+01:00,1.08651,9.799999999999809,8.16666666665834,11.0,,,SINGLE_WAVE_FORT_UP,100.03049630511128,7
133,2024-02-02 14:19:00+01:00,DOWN,,11.0,2024-02-02 14:30:00+01:00,2024-02-02 16:19:00+01:00,1.07886,109.0,,False,,,,,,,,SINGLE_WAVE_FORT_DOWN,480.2391847694486,11
134,2024-02-13 14:25:00+01:00,DOWN,,5.0,2024-02-13 14:30:00+01:00,2024-02-13 15:04:00+01:00,1.07008,34.0,,True,2024-02-13 15:43:00+01:00,1.07239,23.100000000000342,12.15789473683368,39.0,,,SINGLE_WAVE_FORT_DOWN,152.49031674868712,13
137,2024-02-29 16:24:00+01:00,DOWN,,4.0,2024-02-29 16:28:00+01:00,2024-02-29 18:17:00+01:00,1.08,109.0,,True,2024-02-29 18:20:00+01:00,1.08019,1.8999999999991246,1.4615384615381988,3.0,,,SINGLE_WAVE_FORT_DOWN,160.81850002106677,9
138,2024-03-01 16:00:00+01:00,UP,,0.0,2024-03-01 16:00:00+01:00,2024-03-01 16:35:00+01:00,1.08417,35.0,,True,2024-03-01 17:28:00+01:00,1.08235,18.20000000000155,22.749999999979185,53.0,,,SINGLE_WAVE_FORT_UP,408.5899857169384,18
139,2024-03-07 15:01:00+01:00,UP,,1.0,2024-03-07 15:02:00+01:00,2024-03-07 16:58:00+01:00,1.09311,116.0,,True,2024-03-07 16:59:00+01:00,1.0928,3.1000000000003247,1.1923076923081521,1.0,,,SINGLE_WAVE_FORT_UP,508.142577619964,22
141,2024-03-20 18:57:00+01:00,UP,,3.0,2024-03-20 19:00:00+01:00,2024-03-20 20:42:00+01:00,1.09228,102.0,,True,2024-03-20 20:47:00+01:00,1.0916,6.800000000000139,13.600000000031974,5.0,,,SINGLE_WAVE_FORT_UP,431.1827350427365,9
142,2024-03-21 08:53:00+01:00,DOWN,,21.0,2024-03-21 09:14:00+01:00,2024-03-21 09:53:00+01:00,1.08874,39.0,,True,2024-03-21 10:53:00+01:00,1.09132,25.800000000000267,7.58823529411757,60.0,,,SINGLE_WAVE_FORT_DOWN,280.3203589778672,22
143,2024-04-03 15:02:00+02:00,UP,,30.0,2024-04-03 15:32:00+02:00,2024-04-03 16:56:00+02:00,1.08242,84.0,,True,2024-04-03 17:01:00+02:00,1.08195,4.699999999999704,4.700000000000222,5.0,,,SINGLE_WAVE_FORT_UP,393.5203979386637,13
144,2024-04-05 14:30:00+02:00,DOWN,,0.0,2024-04-05 14:30:00+02:00,2024-04-05 15:14:00+02:00,1.07914,44.0,,True,2024-04-05 16:14:00+02:00,1.08135,22.100000000000453,9.208333333332833,60.0,,,SINGLE_WAVE_FORT_DOWN,718.7874594672165,29
145,2024-04-10 14:25:00+02:00,DOWN,,5.0,2024-04-10 14:30:00+02:00,2024-04-10 16:04:00+02:00,1.07459,94.0,,True,2024-04-10 16:25:00+02:00,1.07673,21.400000000000308,5.783783783784157,21.0,,,SINGLE_WAVE_FORT_DOWN,150.5280648926284,11
